"scenario" "n" "p" "s0" "SNR" "corDesign" "rho" "pB" "s0B"
234 100 2000 20 1 "Pairwise" 0.9 10 5
235 100 2000 20 1 "Toeplitz" 0.7 100 2
236 100 2000 20 2 "Independence" 0 0 0
237 100 2000 20 2 "Pairwise" 0.5 100 1
238 100 2000 20 2 "Pairwise" 0.5 100 2
239 100 2000 20 2 "Pairwise" 0.5 100 5
240 100 2000 20 2 "Pairwise" 0.5 10 1
241 100 2000 20 2 "Pairwise" 0.5 10 2
242 100 2000 20 2 "Pairwise" 0.5 10 5
243 100 2000 20 2 "Pairwise" 0.7 100 1
244 100 2000 20 2 "Pairwise" 0.7 100 2
245 100 2000 20 2 "Pairwise" 0.7 100 5
246 100 2000 20 2 "Pairwise" 0.7 10 1
247 100 2000 20 2 "Pairwise" 0.7 10 2
248 100 2000 20 2 "Pairwise" 0.7 10 5
249 100 2000 20 2 "Pairwise" 0.9 100 1
250 100 2000 20 2 "Pairwise" 0.9 100 2
251 100 2000 20 2 "Pairwise" 0.9 100 5
252 100 2000 20 2 "Pairwise" 0.9 10 1
253 100 2000 20 2 "Pairwise" 0.9 10 2
254 100 2000 20 2 "Pairwise" 0.9 10 5
255 100 2000 20 2 "Toeplitz" 0.7 100 2
256 100 2000 20 4 "Independence" 0 0 0
257 100 2000 20 4 "Pairwise" 0.5 100 1
258 100 2000 20 4 "Pairwise" 0.5 100 2
259 100 2000 20 4 "Pairwise" 0.5 100 5
260 100 2000 20 4 "Pairwise" 0.5 10 1
261 100 2000 20 4 "Pairwise" 0.5 10 2
262 100 2000 20 4 "Pairwise" 0.5 10 5
263 100 2000 20 4 "Pairwise" 0.7 100 1
264 100 2000 20 4 "Pairwise" 0.7 100 2
265 100 2000 20 4 "Pairwise" 0.7 100 5
266 100 2000 20 4 "Pairwise" 0.7 10 1
267 100 2000 20 4 "Pairwise" 0.7 10 2
268 100 2000 20 4 "Pairwise" 0.7 10 5
269 100 2000 20 4 "Pairwise" 0.9 100 1
270 100 2000 20 4 "Pairwise" 0.9 100 2
271 100 2000 20 4 "Pairwise" 0.9 100 5
272 100 2000 20 4 "Pairwise" 0.9 10 1
273 100 2000 20 4 "Pairwise" 0.9 10 2
274 100 2000 20 4 "Pairwise" 0.9 10 5
275 100 2000 20 4 "Toeplitz" 0.7 100 2
276 100 2000 40 0.5 "Independence" 0 0 0
277 100 2000 40 1 "Independence" 0 0 0
278 100 2000 40 1 "Pairwise" 0.5 100 2
279 100 2000 40 1 "Pairwise" 0.5 100 5
280 100 2000 40 1 "Pairwise" 0.5 10 1
281 100 2000 40 1 "Pairwise" 0.5 10 2
282 100 2000 40 1 "Pairwise" 0.5 10 5
283 100 2000 40 1 "Pairwise" 0.7 100 2
284 100 2000 40 1 "Pairwise" 0.7 100 5
285 100 2000 40 1 "Pairwise" 0.7 10 1
286 100 2000 40 1 "Pairwise" 0.7 10 2
287 100 2000 40 1 "Pairwise" 0.7 10 5
288 100 2000 40 1 "Pairwise" 0.9 100 2
289 100 2000 40 1 "Pairwise" 0.9 100 5
290 100 2000 40 1 "Pairwise" 0.9 10 1
291 100 2000 40 1 "Pairwise" 0.9 10 2
292 100 2000 40 1 "Pairwise" 0.9 10 5
293 100 2000 40 1 "Toeplitz" 0.7 100 2
294 100 2000 40 2 "Independence" 0 0 0
295 100 2000 40 2 "Pairwise" 0.5 100 2
296 100 2000 40 2 "Pairwise" 0.5 100 5
297 100 2000 40 2 "Pairwise" 0.5 10 1
298 100 2000 40 2 "Pairwise" 0.5 10 2
299 100 2000 40 2 "Pairwise" 0.5 10 5
300 100 2000 40 2 "Pairwise" 0.7 100 2
301 100 2000 40 2 "Pairwise" 0.7 100 5
302 100 2000 40 2 "Pairwise" 0.7 10 1
303 100 2000 40 2 "Pairwise" 0.7 10 2
304 100 2000 40 2 "Pairwise" 0.7 10 5
305 100 2000 40 2 "Pairwise" 0.9 100 2
306 100 2000 40 2 "Pairwise" 0.9 100 5
307 100 2000 40 2 "Pairwise" 0.9 10 1
308 100 2000 40 2 "Pairwise" 0.9 10 2
309 100 2000 40 2 "Pairwise" 0.9 10 5
310 100 2000 40 2 "Toeplitz" 0.7 100 2
311 100 2000 40 4 "Independence" 0 0 0
312 100 2000 40 4 "Pairwise" 0.5 100 2
313 100 2000 40 4 "Pairwise" 0.5 100 5
314 100 2000 40 4 "Pairwise" 0.5 10 1
315 100 2000 40 4 "Pairwise" 0.5 10 2
316 100 2000 40 4 "Pairwise" 0.5 10 5
317 100 2000 40 4 "Pairwise" 0.7 100 2
318 100 2000 40 4 "Pairwise" 0.7 100 5
319 100 2000 40 4 "Pairwise" 0.7 10 1
320 100 2000 40 4 "Pairwise" 0.7 10 2
321 100 2000 40 4 "Pairwise" 0.7 10 5
322 100 2000 40 4 "Pairwise" 0.9 100 2
323 100 2000 40 4 "Pairwise" 0.9 100 5
324 100 2000 40 4 "Pairwise" 0.9 10 1
325 100 2000 40 4 "Pairwise" 0.9 10 2
326 100 2000 40 4 "Pairwise" 0.9 10 5
327 100 2000 40 4 "Toeplitz" 0.7 100 2
328 100 4000 10 0.5 "Independence" 0 0 0
329 100 4000 10 1 "Independence" 0 0 0
330 100 4000 10 1 "Pairwise" 0.5 100 1
331 100 4000 10 1 "Pairwise" 0.5 100 2
332 100 4000 10 1 "Pairwise" 0.5 100 5
333 100 4000 10 1 "Pairwise" 0.5 10 1
334 100 4000 10 1 "Pairwise" 0.5 10 2
335 100 4000 10 1 "Pairwise" 0.5 10 5
336 100 4000 10 1 "Pairwise" 0.7 100 1
337 100 4000 10 1 "Pairwise" 0.7 100 2
338 100 4000 10 1 "Pairwise" 0.7 100 5
339 100 4000 10 1 "Pairwise" 0.7 10 1
340 100 4000 10 1 "Pairwise" 0.7 10 2
341 100 4000 10 1 "Pairwise" 0.7 10 5
342 100 4000 10 1 "Pairwise" 0.9 100 1
343 100 4000 10 1 "Pairwise" 0.9 100 2
344 100 4000 10 1 "Pairwise" 0.9 100 5
345 100 4000 10 1 "Pairwise" 0.9 10 1
346 100 4000 10 1 "Pairwise" 0.9 10 2
347 100 4000 10 1 "Pairwise" 0.9 10 5
348 100 4000 10 1 "Toeplitz" 0.7 100 2
349 100 4000 10 2 "Independence" 0 0 0
350 100 4000 10 2 "Pairwise" 0.5 100 1
351 100 4000 10 2 "Pairwise" 0.5 100 2
352 100 4000 10 2 "Pairwise" 0.5 100 5
353 100 4000 10 2 "Pairwise" 0.5 10 1
354 100 4000 10 2 "Pairwise" 0.5 10 2
355 100 4000 10 2 "Pairwise" 0.5 10 5
356 100 4000 10 2 "Pairwise" 0.7 100 1
357 100 4000 10 2 "Pairwise" 0.7 100 2
358 100 4000 10 2 "Pairwise" 0.7 100 5
359 100 4000 10 2 "Pairwise" 0.7 10 1
360 100 4000 10 2 "Pairwise" 0.7 10 2
361 100 4000 10 2 "Pairwise" 0.7 10 5
362 100 4000 10 2 "Pairwise" 0.9 100 1
363 100 4000 10 2 "Pairwise" 0.9 100 2
364 100 4000 10 2 "Pairwise" 0.9 100 5
365 100 4000 10 2 "Pairwise" 0.9 10 1
366 100 4000 10 2 "Pairwise" 0.9 10 2
367 100 4000 10 2 "Pairwise" 0.9 10 5
368 100 4000 10 2 "Toeplitz" 0.7 100 2
369 100 4000 10 4 "Independence" 0 0 0
370 100 4000 10 4 "Pairwise" 0.5 100 1
371 100 4000 10 4 "Pairwise" 0.5 100 2
372 100 4000 10 4 "Pairwise" 0.5 100 5
373 100 4000 10 4 "Pairwise" 0.5 10 1
374 100 4000 10 4 "Pairwise" 0.5 10 2
375 100 4000 10 4 "Pairwise" 0.5 10 5
376 100 4000 10 4 "Pairwise" 0.7 100 1
377 100 4000 10 4 "Pairwise" 0.7 100 2
378 100 4000 10 4 "Pairwise" 0.7 100 5
379 100 4000 10 4 "Pairwise" 0.7 10 1
380 100 4000 10 4 "Pairwise" 0.7 10 2
381 100 4000 10 4 "Pairwise" 0.7 10 5
382 100 4000 10 4 "Pairwise" 0.9 100 1
383 100 4000 10 4 "Pairwise" 0.9 100 2
384 100 4000 10 4 "Pairwise" 0.9 100 5
385 100 4000 10 4 "Pairwise" 0.9 10 1
386 100 4000 10 4 "Pairwise" 0.9 10 2
387 100 4000 10 4 "Pairwise" 0.9 10 5
388 100 4000 10 4 "Toeplitz" 0.7 100 2
389 100 4000 20 0.5 "Independence" 0 0 0
390 100 4000 20 1 "Independence" 0 0 0
391 100 4000 20 1 "Pairwise" 0.5 100 1
392 100 4000 20 1 "Pairwise" 0.5 100 2
393 100 4000 20 1 "Pairwise" 0.5 100 5
394 100 4000 20 1 "Pairwise" 0.5 10 1
395 100 4000 20 1 "Pairwise" 0.5 10 2
396 100 4000 20 1 "Pairwise" 0.5 10 5
397 100 4000 20 1 "Pairwise" 0.7 100 1
398 100 4000 20 1 "Pairwise" 0.7 100 2
399 100 4000 20 1 "Pairwise" 0.7 100 5
400 100 4000 20 1 "Pairwise" 0.7 10 1
401 100 4000 20 1 "Pairwise" 0.7 10 2
402 100 4000 20 1 "Pairwise" 0.7 10 5
403 100 4000 20 1 "Pairwise" 0.9 100 1
404 100 4000 20 1 "Pairwise" 0.9 100 2
405 100 4000 20 1 "Pairwise" 0.9 100 5
406 100 4000 20 1 "Pairwise" 0.9 10 1
407 100 4000 20 1 "Pairwise" 0.9 10 2
408 100 4000 20 1 "Pairwise" 0.9 10 5
409 100 4000 20 1 "Toeplitz" 0.7 100 2
410 100 4000 20 2 "Independence" 0 0 0
411 100 4000 20 2 "Pairwise" 0.5 100 1
412 100 4000 20 2 "Pairwise" 0.5 100 2
413 100 4000 20 2 "Pairwise" 0.5 100 5
414 100 4000 20 2 "Pairwise" 0.5 10 1
415 100 4000 20 2 "Pairwise" 0.5 10 2
416 100 4000 20 2 "Pairwise" 0.5 10 5
417 100 4000 20 2 "Pairwise" 0.7 100 1
418 100 4000 20 2 "Pairwise" 0.7 100 2
419 100 4000 20 2 "Pairwise" 0.7 100 5
420 100 4000 20 2 "Pairwise" 0.7 10 1
421 100 4000 20 2 "Pairwise" 0.7 10 2
422 100 4000 20 2 "Pairwise" 0.7 10 5
423 100 4000 20 2 "Pairwise" 0.9 100 1
424 100 4000 20 2 "Pairwise" 0.9 100 2
425 100 4000 20 2 "Pairwise" 0.9 100 5
426 100 4000 20 2 "Pairwise" 0.9 10 1
427 100 4000 20 2 "Pairwise" 0.9 10 2
428 100 4000 20 2 "Pairwise" 0.9 10 5
429 100 4000 20 2 "Toeplitz" 0.7 100 2
430 100 4000 20 4 "Independence" 0 0 0
431 100 4000 20 4 "Pairwise" 0.5 100 1
432 100 4000 20 4 "Pairwise" 0.5 100 2
433 100 4000 20 4 "Pairwise" 0.5 100 5
434 100 4000 20 4 "Pairwise" 0.5 10 1
435 100 4000 20 4 "Pairwise" 0.5 10 2
436 100 4000 20 4 "Pairwise" 0.5 10 5
437 100 4000 20 4 "Pairwise" 0.7 100 1
438 100 4000 20 4 "Pairwise" 0.7 100 2
439 100 4000 20 4 "Pairwise" 0.7 100 5
440 100 4000 20 4 "Pairwise" 0.7 10 1
441 100 4000 20 4 "Pairwise" 0.7 10 2
442 100 4000 20 4 "Pairwise" 0.7 10 5
443 100 4000 20 4 "Pairwise" 0.9 100 1
444 100 4000 20 4 "Pairwise" 0.9 100 2
445 100 4000 20 4 "Pairwise" 0.9 100 5
446 100 4000 20 4 "Pairwise" 0.9 10 1
447 100 4000 20 4 "Pairwise" 0.9 10 2
448 100 4000 20 4 "Pairwise" 0.9 10 5
449 100 4000 20 4 "Toeplitz" 0.7 100 2
450 100 4000 40 0.5 "Independence" 0 0 0
451 100 4000 40 1 "Independence" 0 0 0
452 100 4000 40 1 "Pairwise" 0.5 100 1
453 100 4000 40 1 "Pairwise" 0.5 100 2
454 100 4000 40 1 "Pairwise" 0.5 100 5
455 100 4000 40 1 "Pairwise" 0.5 10 1
456 100 4000 40 1 "Pairwise" 0.5 10 2
457 100 4000 40 1 "Pairwise" 0.5 10 5
458 100 4000 40 1 "Pairwise" 0.7 100 1
459 100 4000 40 1 "Pairwise" 0.7 100 2
460 100 4000 40 1 "Pairwise" 0.7 100 5
461 100 4000 40 1 "Pairwise" 0.7 10 1
462 100 4000 40 1 "Pairwise" 0.7 10 2
463 100 4000 40 1 "Pairwise" 0.7 10 5
464 100 4000 40 1 "Pairwise" 0.9 100 1
465 100 4000 40 1 "Pairwise" 0.9 100 2
466 100 4000 40 1 "Pairwise" 0.9 100 5
467 100 4000 40 1 "Pairwise" 0.9 10 1
468 100 4000 40 1 "Pairwise" 0.9 10 2
469 100 4000 40 1 "Pairwise" 0.9 10 5
470 100 4000 40 1 "Toeplitz" 0.7 100 2
471 100 4000 40 2 "Independence" 0 0 0
472 100 4000 40 2 "Pairwise" 0.5 100 1
473 100 4000 40 2 "Pairwise" 0.5 100 2
474 100 4000 40 2 "Pairwise" 0.5 100 5
475 100 4000 40 2 "Pairwise" 0.5 10 1
476 100 4000 40 2 "Pairwise" 0.5 10 2
477 100 4000 40 2 "Pairwise" 0.5 10 5
478 100 4000 40 2 "Pairwise" 0.7 100 1
479 100 4000 40 2 "Pairwise" 0.7 100 2
480 100 4000 40 2 "Pairwise" 0.7 100 5
481 100 4000 40 2 "Pairwise" 0.7 10 1
482 100 4000 40 2 "Pairwise" 0.7 10 2
483 100 4000 40 2 "Pairwise" 0.7 10 5
484 100 4000 40 2 "Pairwise" 0.9 100 1
485 100 4000 40 2 "Pairwise" 0.9 100 2
486 100 4000 40 2 "Pairwise" 0.9 100 5
487 100 4000 40 2 "Pairwise" 0.9 10 1
488 100 4000 40 2 "Pairwise" 0.9 10 2
489 100 4000 40 2 "Pairwise" 0.9 10 5
490 100 4000 40 2 "Toeplitz" 0.7 100 2
491 100 4000 40 4 "Independence" 0 0 0
492 100 4000 40 4 "Pairwise" 0.5 100 1
493 100 4000 40 4 "Pairwise" 0.5 100 2
494 100 4000 40 4 "Pairwise" 0.5 100 5
495 100 4000 40 4 "Pairwise" 0.5 10 1
496 100 4000 40 4 "Pairwise" 0.5 10 2
497 100 4000 40 4 "Pairwise" 0.5 10 5
498 100 4000 40 4 "Pairwise" 0.7 100 1
499 100 4000 40 4 "Pairwise" 0.7 100 2
500 100 4000 40 4 "Pairwise" 0.7 100 5
501 100 4000 40 4 "Pairwise" 0.7 10 1
502 100 4000 40 4 "Pairwise" 0.7 10 2
503 100 4000 40 4 "Pairwise" 0.7 10 5
504 100 4000 40 4 "Pairwise" 0.9 100 1
505 100 4000 40 4 "Pairwise" 0.9 100 2
506 100 4000 40 4 "Pairwise" 0.9 100 5
507 100 4000 40 4 "Pairwise" 0.9 10 1
508 100 4000 40 4 "Pairwise" 0.9 10 2
509 100 4000 40 4 "Pairwise" 0.9 10 5
510 100 4000 40 4 "Toeplitz" 0.7 100 2
511 100 500 10 0.5 "Independence" 0 0 0
512 100 500 10 1 "Independence" 0 0 0
513 100 500 10 1 "Pairwise" 0.5 100 2
514 100 500 10 1 "Pairwise" 0.5 100 5
515 100 500 10 1 "Pairwise" 0.5 10 1
516 100 500 10 1 "Pairwise" 0.5 10 2
517 100 500 10 1 "Pairwise" 0.5 10 5
518 100 500 10 1 "Pairwise" 0.7 100 2
519 100 500 10 1 "Pairwise" 0.7 100 5
