"scenario" "n" "p" "s0" "SNR" "corDesign" "pB" "s0B"
103 100 4000 10 1 "high" 10 2
104 100 4000 10 1 "high" 10 5
105 100 4000 10 2 "low" 0 0
106 100 4000 10 2 "high" 10 1
107 100 4000 10 2 "high" 10 2
108 100 4000 10 2 "high" 10 5
109 100 4000 10 4 "low" 0 0
110 100 4000 10 4 "high" 10 1
111 100 4000 10 4 "high" 10 2
112 100 4000 10 4 "high" 10 5
113 100 4000 20 0.5 "low" 0 0
114 100 4000 20 0.5 "high" 10 1
115 100 4000 20 0.5 "high" 10 2
116 100 4000 20 0.5 "high" 10 5
117 100 4000 20 1 "low" 0 0
118 100 4000 20 1 "high" 10 1
119 100 4000 20 1 "high" 10 2
120 100 4000 20 1 "high" 10 5
121 100 4000 20 2 "low" 0 0
122 100 4000 20 2 "high" 10 1
123 100 4000 20 2 "high" 10 2
124 100 4000 20 2 "high" 10 5
125 100 4000 20 4 "low" 0 0
126 100 4000 20 4 "high" 10 1
127 100 4000 20 4 "high" 10 2
128 100 4000 20 4 "high" 10 5
129 100 4000 40 0.5 "low" 0 0
130 100 4000 40 0.5 "high" 10 1
131 100 4000 40 0.5 "high" 10 2
132 100 4000 40 0.5 "high" 10 5
133 100 4000 40 1 "low" 0 0
134 100 4000 40 1 "high" 10 1
135 100 4000 40 1 "high" 10 2
136 100 4000 40 1 "high" 10 5
137 100 4000 40 2 "low" 0 0
138 100 4000 40 2 "high" 10 1
139 100 4000 40 2 "high" 10 2
140 100 4000 40 2 "high" 10 5
141 100 4000 40 4 "low" 0 0
142 100 4000 40 4 "high" 10 1
143 100 4000 40 4 "high" 10 2
144 100 4000 40 4 "high" 10 5
145 100 500 10 0.5 "low" 0 0
146 100 500 10 0.5 "high" 10 1
147 100 500 10 0.5 "high" 10 2
148 100 500 10 0.5 "high" 10 5
149 100 500 10 1 "low" 0 0
150 100 500 10 1 "high" 10 1
151 100 500 10 1 "high" 10 2
152 100 500 10 1 "high" 10 5
153 100 500 10 2 "low" 0 0
154 100 500 10 2 "high" 10 1
155 100 500 10 2 "high" 10 2
156 100 500 10 2 "high" 10 5
157 100 500 10 4 "low" 0 0
158 100 500 10 4 "high" 10 1
159 100 500 10 4 "high" 10 2
160 100 500 10 4 "high" 10 5
161 100 500 20 0.5 "low" 0 0
162 100 500 20 0.5 "high" 10 1
163 100 500 20 0.5 "high" 10 2
164 100 500 20 0.5 "high" 10 5
165 100 500 20 1 "low" 0 0
166 100 500 20 1 "high" 10 1
167 100 500 20 1 "high" 10 2
168 100 500 20 1 "high" 10 5
169 100 500 20 2 "low" 0 0
170 100 500 20 2 "high" 10 1
171 100 500 20 2 "high" 10 2
172 100 500 20 2 "high" 10 5
173 100 500 20 4 "low" 0 0
174 100 500 20 4 "high" 10 1
175 100 500 20 4 "high" 10 2
176 100 500 20 4 "high" 10 5
177 100 500 40 0.5 "low" 0 0
178 100 500 40 0.5 "high" 10 1
179 100 500 40 0.5 "high" 10 2
180 100 500 40 0.5 "high" 10 5
181 100 500 40 1 "low" 0 0
182 100 500 40 1 "high" 10 1
183 100 500 40 1 "high" 10 2
184 100 500 40 1 "high" 10 5
185 100 500 40 2 "low" 0 0
186 100 500 40 2 "high" 10 1
187 100 500 40 2 "high" 10 2
188 100 500 40 2 "high" 10 5
189 100 500 40 4 "low" 0 0
190 100 500 40 4 "high" 10 1
191 100 500 40 4 "high" 10 2
192 100 500 40 4 "high" 10 5
193 200 1000 10 0.5 "low" 0 0
194 200 1000 10 0.5 "high" 10 1
195 200 1000 10 0.5 "high" 10 2
196 200 1000 10 0.5 "high" 10 5
197 200 1000 10 1 "low" 0 0
198 200 1000 10 1 "high" 10 1
199 200 1000 10 1 "high" 10 2
200 200 1000 10 1 "high" 10 5
201 200 1000 10 2 "low" 0 0
202 200 1000 10 2 "high" 10 1
203 200 1000 10 2 "high" 10 2
204 200 1000 10 2 "high" 10 5
205 200 1000 10 4 "low" 0 0
206 200 1000 10 4 "high" 10 1
207 200 1000 10 4 "high" 10 2
208 200 1000 10 4 "high" 10 5
209 200 1000 20 0.5 "low" 0 0
210 200 1000 20 0.5 "high" 10 1
211 200 1000 20 0.5 "high" 10 2
212 200 1000 20 0.5 "high" 10 5
213 200 1000 20 1 "low" 0 0
214 200 1000 20 1 "high" 10 1
215 200 1000 20 1 "high" 10 2
216 200 1000 20 1 "high" 10 5
217 200 1000 20 2 "low" 0 0
218 200 1000 20 2 "high" 10 1
219 200 1000 20 2 "high" 10 2
220 200 1000 20 2 "high" 10 5
221 200 1000 20 4 "low" 0 0
222 200 1000 20 4 "high" 10 1
223 200 1000 20 4 "high" 10 2
224 200 1000 20 4 "high" 10 5
225 200 1000 40 0.5 "low" 0 0
226 200 1000 40 0.5 "high" 10 1
227 200 1000 40 0.5 "high" 10 2
228 200 1000 40 0.5 "high" 10 5
229 200 1000 40 1 "low" 0 0
230 200 1000 40 1 "high" 10 1
231 200 1000 40 1 "high" 10 2
232 200 1000 40 1 "high" 10 5
233 200 1000 40 2 "low" 0 0
234 200 1000 40 2 "high" 10 1
235 200 1000 40 2 "high" 10 2
236 200 1000 40 2 "high" 10 5
237 200 1000 40 4 "low" 0 0
238 200 1000 40 4 "high" 10 1
239 200 1000 40 4 "high" 10 2
240 200 1000 40 4 "high" 10 5
241 200 2000 10 0.5 "low" 0 0
242 200 2000 10 0.5 "high" 10 1
243 200 2000 10 0.5 "high" 10 2
244 200 2000 10 0.5 "high" 10 5
245 200 2000 10 1 "low" 0 0
246 200 2000 10 1 "high" 10 1
247 200 2000 10 1 "high" 10 2
248 200 2000 10 1 "high" 10 5
249 200 2000 10 2 "low" 0 0
250 200 2000 10 2 "high" 10 1
251 200 2000 10 2 "high" 10 2
252 200 2000 10 2 "high" 10 5
253 200 2000 10 4 "low" 0 0
254 200 2000 10 4 "high" 10 1
255 200 2000 10 4 "high" 10 2
256 200 2000 10 4 "high" 10 5
257 200 2000 20 0.5 "low" 0 0
258 200 2000 20 0.5 "high" 10 1
259 200 2000 20 0.5 "high" 10 2
260 200 2000 20 0.5 "high" 10 5
261 200 2000 20 1 "low" 0 0
262 200 2000 20 1 "high" 10 1
263 200 2000 20 1 "high" 10 2
264 200 2000 20 1 "high" 10 5
265 200 2000 20 2 "low" 0 0
266 200 2000 20 2 "high" 10 1
267 200 2000 20 2 "high" 10 2
268 200 2000 20 2 "high" 10 5
269 200 2000 20 4 "low" 0 0
270 200 2000 20 4 "high" 10 1
271 200 2000 20 4 "high" 10 2
272 200 2000 20 4 "high" 10 5
273 200 2000 40 0.5 "low" 0 0
274 200 2000 40 0.5 "high" 10 1
275 200 2000 40 0.5 "high" 10 2
276 200 2000 40 0.5 "high" 10 5
277 200 2000 40 1 "low" 0 0
278 200 2000 40 1 "high" 10 1
279 200 2000 40 1 "high" 10 2
280 200 2000 40 1 "high" 10 5
281 200 2000 40 2 "low" 0 0
282 200 2000 40 2 "high" 10 1
283 200 2000 40 2 "high" 10 2
284 200 2000 40 2 "high" 10 5
285 200 2000 40 4 "low" 0 0
286 200 2000 40 4 "high" 10 1
287 200 2000 40 4 "high" 10 2
288 200 2000 40 4 "high" 10 5
289 200 4000 10 0.5 "low" 0 0
290 200 4000 10 0.5 "high" 10 1
291 200 4000 10 0.5 "high" 10 2
292 200 4000 10 0.5 "high" 10 5
293 200 4000 10 1 "low" 0 0
294 200 4000 10 1 "high" 10 1
295 200 4000 10 1 "high" 10 2
296 200 4000 10 1 "high" 10 5
297 200 4000 10 2 "low" 0 0
298 200 4000 10 2 "high" 10 1
299 200 4000 10 2 "high" 10 2
300 200 4000 10 2 "high" 10 5
301 200 4000 10 4 "low" 0 0
302 200 4000 10 4 "high" 10 1
303 200 4000 10 4 "high" 10 2
304 200 4000 10 4 "high" 10 5
305 200 4000 20 0.5 "low" 0 0
306 200 4000 20 0.5 "high" 10 1
307 200 4000 20 0.5 "high" 10 2
308 200 4000 20 0.5 "high" 10 5
309 200 4000 20 1 "low" 0 0
310 200 4000 20 1 "high" 10 1
311 200 4000 20 1 "high" 10 2
312 200 4000 20 1 "high" 10 5
313 200 4000 20 2 "low" 0 0
314 200 4000 20 2 "high" 10 1
315 200 4000 20 2 "high" 10 2
316 200 4000 20 2 "high" 10 5
317 200 4000 20 4 "low" 0 0
318 200 4000 20 4 "high" 10 1
319 200 4000 20 4 "high" 10 2
320 200 4000 20 4 "high" 10 5
321 200 4000 40 0.5 "low" 0 0
322 200 4000 40 0.5 "high" 10 1
323 200 4000 40 0.5 "high" 10 2
324 200 4000 40 0.5 "high" 10 5
325 200 4000 40 1 "low" 0 0
326 200 4000 40 1 "high" 10 1
327 200 4000 40 1 "high" 10 2
328 200 4000 40 1 "high" 10 5
329 200 4000 40 2 "low" 0 0
330 200 4000 40 2 "high" 10 1
331 200 4000 40 2 "high" 10 2
332 200 4000 40 2 "high" 10 5
333 200 4000 40 4 "low" 0 0
334 200 4000 40 4 "high" 10 1
335 200 4000 40 4 "high" 10 2
336 200 4000 40 4 "high" 10 5
337 200 500 10 0.5 "low" 0 0
338 200 500 10 0.5 "high" 10 1
339 200 500 10 0.5 "high" 10 2
340 200 500 10 0.5 "high" 10 5
341 200 500 10 1 "low" 0 0
342 200 500 10 1 "high" 10 1
343 200 500 10 1 "high" 10 2
344 200 500 10 1 "high" 10 5
345 200 500 10 2 "low" 0 0
346 200 500 10 2 "high" 10 1
347 200 500 10 2 "high" 10 2
348 200 500 10 2 "high" 10 5
349 200 500 10 4 "low" 0 0
350 200 500 10 4 "high" 10 1
351 200 500 10 4 "high" 10 2
352 200 500 10 4 "high" 10 5
353 200 500 20 0.5 "low" 0 0
354 200 500 20 0.5 "high" 10 1
355 200 500 20 0.5 "high" 10 2
356 200 500 20 0.5 "high" 10 5
357 200 500 20 1 "low" 0 0
358 200 500 20 1 "high" 10 1
359 200 500 20 1 "high" 10 2
360 200 500 20 1 "high" 10 5
361 200 500 20 2 "low" 0 0
362 200 500 20 2 "high" 10 1
363 200 500 20 2 "high" 10 2
364 200 500 20 2 "high" 10 5
365 200 500 20 4 "low" 0 0
366 200 500 20 4 "high" 10 1
367 200 500 20 4 "high" 10 2
368 200 500 20 4 "high" 10 5
369 200 500 40 0.5 "low" 0 0
370 200 500 40 0.5 "high" 10 1
371 200 500 40 0.5 "high" 10 2
372 200 500 40 0.5 "high" 10 5
373 200 500 40 1 "low" 0 0
374 200 500 40 1 "high" 10 1
375 200 500 40 1 "high" 10 2
376 200 500 40 1 "high" 10 5
377 200 500 40 2 "low" 0 0
378 200 500 40 2 "high" 10 1
379 200 500 40 2 "high" 10 2
380 200 500 40 2 "high" 10 5
381 200 500 40 4 "low" 0 0
382 200 500 40 4 "high" 10 1
383 200 500 40 4 "high" 10 2
384 200 500 40 4 "high" 10 5
385 300 1000 10 0.5 "low" 0 0
386 300 1000 10 0.5 "high" 10 1
387 300 1000 10 0.5 "high" 10 2
388 300 1000 10 0.5 "high" 10 5
389 300 1000 10 1 "low" 0 0
390 300 1000 10 1 "high" 10 1
391 300 1000 10 1 "high" 10 2
392 300 1000 10 1 "high" 10 5
393 300 1000 10 2 "low" 0 0
394 300 1000 10 2 "high" 10 1
395 300 1000 10 2 "high" 10 2
396 300 1000 10 2 "high" 10 5
397 300 1000 10 4 "low" 0 0
398 300 1000 10 4 "high" 10 1
399 300 1000 10 4 "high" 10 2
400 300 1000 10 4 "high" 10 5
401 300 1000 20 0.5 "low" 0 0
402 300 1000 20 0.5 "high" 10 1
403 300 1000 20 0.5 "high" 10 2
404 300 1000 20 0.5 "high" 10 5
405 300 1000 20 1 "low" 0 0
406 300 1000 20 1 "high" 10 1
407 300 1000 20 1 "high" 10 2
408 300 1000 20 1 "high" 10 5
409 300 1000 20 2 "low" 0 0
410 300 1000 20 2 "high" 10 1
411 300 1000 20 2 "high" 10 2
412 300 1000 20 2 "high" 10 5
413 300 1000 20 4 "low" 0 0
414 300 1000 20 4 "high" 10 1
415 300 1000 20 4 "high" 10 2
416 300 1000 20 4 "high" 10 5
417 300 1000 40 0.5 "low" 0 0
418 300 1000 40 0.5 "high" 10 1
419 300 1000 40 0.5 "high" 10 2
420 300 1000 40 0.5 "high" 10 5
421 300 1000 40 1 "low" 0 0
422 300 1000 40 1 "high" 10 1
423 300 1000 40 1 "high" 10 2
424 300 1000 40 1 "high" 10 5
425 300 1000 40 2 "low" 0 0
426 300 1000 40 2 "high" 10 1
427 300 1000 40 2 "high" 10 2
428 300 1000 40 2 "high" 10 5
429 300 1000 40 4 "low" 0 0
430 300 1000 40 4 "high" 10 1
431 300 1000 40 4 "high" 10 2
432 300 1000 40 4 "high" 10 5
433 300 2000 10 0.5 "low" 0 0
434 300 2000 10 0.5 "high" 10 1
435 300 2000 10 0.5 "high" 10 2
436 300 2000 10 0.5 "high" 10 5
437 300 2000 10 1 "low" 0 0
438 300 2000 10 1 "high" 10 1
439 300 2000 10 1 "high" 10 2
440 300 2000 10 1 "high" 10 5
441 300 2000 10 2 "low" 0 0
442 300 2000 10 2 "high" 10 1
443 300 2000 10 2 "high" 10 2
444 300 2000 10 2 "high" 10 5
445 300 2000 10 4 "low" 0 0
446 300 2000 10 4 "high" 10 1
447 300 2000 10 4 "high" 10 2
448 300 2000 10 4 "high" 10 5
449 300 2000 20 0.5 "low" 0 0
450 300 2000 20 0.5 "high" 10 1
451 300 2000 20 0.5 "high" 10 2
452 300 2000 20 0.5 "high" 10 5
453 300 2000 20 1 "low" 0 0
454 300 2000 20 1 "high" 10 1
455 300 2000 20 1 "high" 10 2
456 300 2000 20 1 "high" 10 5
457 300 2000 20 2 "low" 0 0
458 300 2000 20 2 "high" 10 1
459 300 2000 20 2 "high" 10 2
460 300 2000 20 2 "high" 10 5
461 300 2000 20 4 "low" 0 0
462 300 2000 20 4 "high" 10 1
463 300 2000 20 4 "high" 10 2
464 300 2000 20 4 "high" 10 5
465 300 2000 40 0.5 "low" 0 0
466 300 2000 40 0.5 "high" 10 1
467 300 2000 40 0.5 "high" 10 2
468 300 2000 40 0.5 "high" 10 5
469 300 2000 40 1 "low" 0 0
470 300 2000 40 1 "high" 10 1
471 300 2000 40 1 "high" 10 2
472 300 2000 40 1 "high" 10 5
473 300 2000 40 2 "low" 0 0
474 300 2000 40 2 "high" 10 1
475 300 2000 40 2 "high" 10 2
476 300 2000 40 2 "high" 10 5
477 300 2000 40 4 "low" 0 0
478 300 2000 40 4 "high" 10 1
479 300 2000 40 4 "high" 10 2
480 300 2000 40 4 "high" 10 5
481 300 4000 10 0.5 "low" 0 0
482 300 4000 10 0.5 "high" 10 1
483 300 4000 10 0.5 "high" 10 2
484 300 4000 10 0.5 "high" 10 5
485 300 4000 10 1 "low" 0 0
486 300 4000 10 1 "high" 10 1
487 300 4000 10 1 "high" 10 2
488 300 4000 10 1 "high" 10 5
489 300 4000 10 2 "low" 0 0
490 300 4000 10 2 "high" 10 1
491 300 4000 10 2 "high" 10 2
492 300 4000 10 2 "high" 10 5
493 300 4000 10 4 "low" 0 0
494 300 4000 10 4 "high" 10 1
495 300 4000 10 4 "high" 10 2
496 300 4000 10 4 "high" 10 5
497 300 4000 20 0.5 "low" 0 0
498 300 4000 20 0.5 "high" 10 1
499 300 4000 20 0.5 "high" 10 2
500 300 4000 20 0.5 "high" 10 5
501 300 4000 20 1 "low" 0 0
502 300 4000 20 1 "high" 10 1
503 300 4000 20 1 "high" 10 2
504 300 4000 20 1 "high" 10 5
505 300 4000 20 2 "low" 0 0
506 300 4000 20 2 "high" 10 1
507 300 4000 20 2 "high" 10 2
508 300 4000 20 2 "high" 10 5
509 300 4000 20 4 "low" 0 0
510 300 4000 20 4 "high" 10 1
511 300 4000 20 4 "high" 10 2
512 300 4000 20 4 "high" 10 5
513 300 4000 40 0.5 "low" 0 0
514 300 4000 40 0.5 "high" 10 1
515 300 4000 40 0.5 "high" 10 2
516 300 4000 40 0.5 "high" 10 5
517 300 4000 40 1 "low" 0 0
518 300 4000 40 1 "high" 10 1
519 300 4000 40 1 "high" 10 2
520 300 4000 40 1 "high" 10 5
521 300 4000 40 2 "low" 0 0
522 300 4000 40 2 "high" 10 1
523 300 4000 40 2 "high" 10 2
524 300 4000 40 2 "high" 10 5
525 300 4000 40 4 "low" 0 0
526 300 4000 40 4 "high" 10 1
527 300 4000 40 4 "high" 10 2
528 300 4000 40 4 "high" 10 5
529 300 500 10 0.5 "low" 0 0
530 300 500 10 0.5 "high" 10 1
531 300 500 10 0.5 "high" 10 2
532 300 500 10 0.5 "high" 10 5
533 300 500 10 1 "low" 0 0
534 300 500 10 1 "high" 10 1
535 300 500 10 1 "high" 10 2
536 300 500 10 1 "high" 10 5
537 300 500 10 2 "low" 0 0
538 300 500 10 2 "high" 10 1
539 300 500 10 2 "high" 10 2
540 300 500 10 2 "high" 10 5
541 300 500 10 4 "low" 0 0
542 300 500 10 4 "high" 10 1
543 300 500 10 4 "high" 10 2
544 300 500 10 4 "high" 10 5
545 300 500 20 0.5 "low" 0 0
546 300 500 20 0.5 "high" 10 1
547 300 500 20 0.5 "high" 10 2
548 300 500 20 0.5 "high" 10 5
549 300 500 20 1 "low" 0 0
550 300 500 20 1 "high" 10 1
551 300 500 20 1 "high" 10 2
552 300 500 20 1 "high" 10 5
553 300 500 20 2 "low" 0 0
554 300 500 20 2 "high" 10 1
555 300 500 20 2 "high" 10 2
556 300 500 20 2 "high" 10 5
557 300 500 20 4 "low" 0 0
558 300 500 20 4 "high" 10 1
559 300 500 20 4 "high" 10 2
560 300 500 20 4 "high" 10 5
561 300 500 40 0.5 "low" 0 0
562 300 500 40 0.5 "high" 10 1
563 300 500 40 0.5 "high" 10 2
564 300 500 40 0.5 "high" 10 5
565 300 500 40 1 "low" 0 0
566 300 500 40 1 "high" 10 1
567 300 500 40 1 "high" 10 2
568 300 500 40 1 "high" 10 5
569 300 500 40 2 "low" 0 0
570 300 500 40 2 "high" 10 1
571 300 500 40 2 "high" 10 2
572 300 500 40 2 "high" 10 5
573 300 500 40 4 "low" 0 0
574 300 500 40 4 "high" 10 1
575 300 500 40 4 "high" 10 2
576 300 500 40 4 "high" 10 5
